"","Year","Catch_SAU_tonnes","Catch_WAT_tonnes","Catch_STO_tonnes","Land_SAU_tonnes","Land_WAT_tonnes","Land_STO_tonnes","Stckbio_lwr_STO_kgkm2","Stckbio_STO_kgkm2","Stckbio_upr_STO_kgkm2","Stckbio_lwr_SUR_kgkm2","Stckbio_SUR_kgkm2","Stckbio_upr_SUR_kgkm2","Tbio_lwr_SUR_kgkm2","Tbio_SUR_kgkm2","Tbio_upr_SUR_kgkm2","ER_SAU_SUR","ER_WAT_SUR","ER_STO","pcdem_SAU","pcdem_WAT","pcdem_SUR"
"1",1990,2920369.79387183,3464943.18724,2426601.64167613,2615340.89416212,2536284.34114,2274091.8089286,7374813.85149375,9149713.4948805,10349818.0658292,5740211291.60866,6964432933.62467,8449745771.18106,7569067129.79844,8933798400.59692,10544595852.2809,0.326890048657994,0.387846583487768,0.250521412847886,65.7510002351968,67.2164963839602,73.5806122869323
"2",1991,3209409.18283488,3959752.72307,2720471.88202337,2908839.86731522,2868903.70658,2559925.54756549,7551927.08943543,9396294.70066774,10688004.8828612,6151437167.48526,7388722496.65784,8874872431.6298,8097088439.20997,9474720765.91943,11086742384.7607,0.338733907006434,0.417928171277958,0.269107255518665,68.5482639932326,67.5876385037421,76.8992348433787
"3",1992,3447817.47553373,3454159.83365,3003628.50980607,3172249.09586222,2591829.46886,2828446.36703015,7518648.60263952,9428301.02898815,10806495.0813231,7758837132.75824,9304245278.14573,11157468408.5581,10189820830.5372,11909170154.8157,13918628809.5778,0.289509464615346,0.290042025493544,0.292994180264904,67.4116990693983,61.8896728306246,69.538482641732
"4",1993,3229367.43092539,3589460.68901,2768031.36217893,2943255.55845607,2689487.40164,2616451.60824362,7522337.65474579,9371927.54477027,10809705.4785234,7986975429.28119,9599561739.39376,11537732450.0829,10408001866.4538,12186389415.2648,14268645306.3711,0.264997885828287,0.294546691944195,0.268900703149765,61.3071975299383,58.1710308658005,64.9189657232344
"5",1994,3295278.50188001,4018728.84658,3239003.93487682,3012899.97286037,2987062.18532,2964430.5034201,7256900.21020997,8898138.58853528,10228732.6811041,5627778211.49497,6820723075.77482,8266541702.26243,7560227997.63046,8907192220.17569,10494137646.6456,0.369957043748969,0.451177963519994,0.312550362371488,64.1051437469895,60.4027462253071,70.425111690448
"6",1995,3594770.99042396,4657672.02288,3276689.79527164,3324959.54676928,3439421.04409,3121797.20703491,7682327.39564997,9774097.98418095,11362876.4966044,6896046515.44931,8313319301.48693,10021869436.8787,9053567124.24617,10622338234.5785,12462940631.1694,0.338416167047106,0.438478978923687,0.297046752623621,65.1190684868579,61.4126225255561,74.7429560517197
"7",1996,2547894.78193306,3681347.00589,2553110.01245001,2320318.90026956,2729827.70949,2380842.04127323,7493558.457448,9361790.18537943,10772025.9641106,5571055011.22371,6675835130.7186,7999701062.5008,7415382945.81546,8651913439.61298,10094637959.1626,0.294489167016798,0.425495126781421,0.262290142715813,73.3009624311369,61.4001786251664,65.7953459350264
"8",1997,2798932.79826696,4452351.21918,3059814.39536347,2577901.33140869,3213018.33308,2836184.64491503,7358480.91367801,9397342.05710557,10712941.1511523,5934213936.13032,7130045829.6684,8566855539.81271,8076991325.35374,9444616529.36528,11043812948.8586,0.296352190643685,0.471416833636041,0.326359184390372,74.3579400906144,66.7535689188458,71.9428080456971
"9",1998,2665279.79585205,4060950.29182,2964921.78453062,2439245.71533596,2975105.12911,2731890.80042115,7516717.03660195,9461882.86373237,10910645.6835193,5601858928.15841,6681162876.43456,7968415119.67919,7704318517.39551,8961369643.52641,10423523599.9906,0.297418798897267,0.453161788137328,0.301018218431597,69.6625266636696,62.8539506917941,72.6015861204124
"10",1999,2553781.44800003,3475461.15932,2531722.68359983,2315622.35518531,2559461.96415,2394431.29376408,6926917.15984502,8605256.29133142,9832609.7863732,6527778402.64087,7758789338.82577,9221944785.98148,8797108862.47733,10206830918.6055,11842458588.3393,0.250203169658162,0.340503451760406,0.271323705400806,65.2988662358809,60.2696118145843,76.1326131660122
"11",2000,2646609.73833046,3810002.34069,2504262.24807225,2418098.30269395,2851220.34005,2373475.96575718,7405884.41437318,9349506.28749105,10826125.8807145,8147618027.40885,9680235441.1301,11501147682.7311,10577703586.9203,12266278286.2088,14224409084.4793,0.21576306003966,0.31060785119914,0.249076815892693,65.2325444119195,58.4038979732988,74.0100476792506
"12",2001,2553598.2284633,3128540.99731,2447262.71022311,2342343.23310745,2292776.6763,2221271.76843426,7417200.98703535,9127662.65688841,10364823.0644687,7259195358.71931,8607682294.8177,10206667657.6658,9638939493.60042,11163373625.0757,12928902684.3435,0.228747895952106,0.280250496165651,0.25720162400693,63.1424945157728,61.0065127779462,71.9753695081459
"13",2002,2704576.81410643,3557862.01907,2432131.62618984,2491059.34665584,2609860.47555,2272475.35638081,7834450.69586334,9638739.49604293,10792585.3470187,6220836224.04364,7375770517.62879,8745125055.44794,8450482838.10394,9784652118.94381,11329461158.9594,0.276410114660098,0.363616608523232,0.234748555462674,63.9473269057025,61.3284667706163,63.7090431466513
"14",2003,2202951.69728711,2980213.86215,1832407.54320383,1994859.94922625,2256163.67092,1718033.62844899,8071915.70815234,9826495.5543679,10986570.7133522,5297774818.796,6284148496.12359,7454171547.87774,7259963418.16289,8407396489.32537,9736180701.94172,0.262025432020975,0.354475236886222,0.171308322190656,51.8567732115779,53.274753660237,61.4490603571366
