"Region","Year","Catch_SAU_tonnes","Catch_WAT_tonnes","Catch_STO_tonnes","Land_SAU_tonnes","Land_WAT_tonnes","Land_STO_tonnes","Stckbio_lwr_STO_MTkm2","Stckbio_STO_MTkm2","Stckbio_upr_STO_MTkm2","Stckbio_lwr_SUR_MTkm2","Stckbio_SUR_MTkm2","Stckbio_upr_SUR_MTkm2","Tbio_lwr_SUR_MTkm2","Tbio_SUR_MTkm2","Tbio_upr_SUR_MTkm2","ER_SAU_SUR","ER_WAT_SUR","ER_STO","pcdem_SAU","pcdem_WAT","pcdem_SUR"
"Baltic Sea",1999,1172758.55416549,785878.52623,336909.451715906,1151251.92000245,694319.10471,336379.379305667,NA,4.26104933876366,NA,0.299711227777348,2.25967579415674,17.0368482107423,4.18106766350732,6.33960199981827,9.61250971059041,0.902386843072736,0.604699441163293,0.221964520356641,24.104831578932,23.0624423705987,56.4389221465445
"Baltic Sea",2000,1132637.33903878,912141.93543,319367.774277589,1106429.52845335,804672.50074,318837.70186735,NA,4.79079738590248,NA,0.915920670125832,6.14179526610775,41.1844063805232,6.91066753302676,10.156605220339,14.9271584993521,0.543986900206473,0.438086620404018,0.187141547532855,23.118125827563,23.6487153994849,49.2214065797811
"Baltic Sea",2001,1067223.0665447,1144522.72762,291585.256940528,1044678.64307476,914280.83987,291055.184530289,NA,4.00038441911699,NA,0.852621954664673,5.15862392171468,31.2112544370887,6.33814892578655,9.01373581161307,12.8187952402007,0.577559214855133,0.619392204563426,0.197536201789376,24.1151104377655,47.9906425688098,40.6828496766459
"Baltic Sea",2002,956933.856070094,754512.36076,294801.574373444,936959.882560447,669516.76445,293802.988599083,NA,3.50094503438189,NA,0.81825614333509,4.64075996473236,26.3201849759203,9.53857539500183,13.6562673566129,19.5515190049253,0.341818881229636,0.269513477230368,0.226750005669931,21.4770512457675,23.0916206500992,50.7820107468801
"Baltic Sea",2003,870115.324307923,688365.52678,257469.413253543,850646.12497695,613048.62875,257010.060675066,NA,3.57485428545825,NA,0.798663562385467,4.92133518471844,30.3250844798881,6.47815801302448,9.34914769287778,13.4925024069356,0.453994859858452,0.359164356874699,0.195376218452106,23.7884289696197,18.0178578693803,44.4912678015382
"Baltic Sea",2004,923501.924532981,1008181.28567,306861.352041754,905284.594732501,906898.76647,306547.622601266,NA,4.88333720297382,NA,1.38353518532207,8.12491729000043,47.7142046474086,8.42821067508476,12.1212275474482,17.4324258043703,0.371652740542325,0.405730976654135,0.170419536155387,21.5145139406228,39.3751777631436,41.1753470525249
"Baltic Sea",2005,929086.556908417,796757.46027,333720.697113009,904531.978840891,711791.35489,333446.281552741,NA,4.30958928165405,NA,0.898846349248342,4.91430340714168,26.8681938772294,8.45300728677433,11.9864283427521,16.9968461568376,0.37810508821297,0.324251866050222,0.209915376408484,20.5648223783458,25.3019115562515,49.9464856906922
"Baltic Sea",2006,914920.316948956,786949.74554,293501.673929753,888632.623344137,700781.00537,293096.073977694,NA,3.77747728958237,NA,0.967977231244516,5.89611934053433,35.9142985554807,8.7394804987829,12.5290819319627,17.9619250915081,0.35621332517196,0.306389507817292,0.2108449833405,22.5269984054823,28.4501351996599,46.995966131854
"Baltic Sea",2007,942850.074739701,778995.74278,315124.839070222,919908.429907242,705456.26999,314851.928053916,NA,3.74584129275576,NA,1.08394790351342,6.0934649976328,34.2547050066014,8.62985026302965,12.2972544643597,17.523185542286,0.37400776495246,0.30901037659149,0.228039946025302,19.2195365110395,23.4811810704931,58.9636777141201
"Baltic Sea",2008,914158.778166463,706232.39083,309162.869590699,893038.611081764,650101.48997,308727.002724019,NA,3.59619544310344,NA,0.777511438157214,3.96847141747024,20.2553488198251,10.2494237837881,14.664797758748,20.9822813303068,0.304082687423836,0.234918756433187,0.233837409670307,18.017604500358,21.9869974028728,64.9704520226176
"Baltic Sea",2009,958629.780194938,828946.44195,327142.293366045,937083.274793157,732638.33101,326810.461125439,NA,4.05618238329036,NA,0.757587209294838,4.16103620271761,22.8544279363463,10.2649575719542,14.5833639202641,20.7184980298339,0.320655978674536,0.277277670800296,0.219939808217323,18.3127983288262,29.7586654533399,65.1860525733112
"Baltic Sea",2010,891259.142335372,735436.63181,273485.127576823,867586.40858986,672656.38867,273143.915586895,NA,3.32317881284734,NA,1.09807481970245,6.28791850209028,36.0065802252372,11.9324437865728,16.872459601896,23.8576353770844,0.25767467665942,0.212624350543634,0.222343437937888,20.8961825505581,28.5325855632775,60.0563710336311
"Baltic Sea",2011,819737.681274421,732396.8619,214710.297636758,775853.999411568,668566.90269,214241.607451205,NA,2.60843039551517,NA,2.14083954694365,11.482146578892,61.5831720071601,12.7487597240626,18.1365849449659,25.8013893575167,0.220478133485129,0.196986788299196,0.220701741505185,22.3686829043536,30.8551379006847,55.8096901639184
"Baltic Sea",2012,819317.305439105,634987.3406,190385.042861302,774467.856533629,582064.05136,190075.457363288,NA,2.75118494076072,NA,1.7267264174846,8.83306995479461,45.1855742961035,12.1008370964234,17.1328138029996,24.2572729860988,0.233275737925199,0.180793374518359,0.184522946132801,24.1880755121317,31.2665914483303,53.8678760065903
"Baltic Sea",2013,834224.873477411,656456.26823,225459.868114446,786997.01709461,597672.55329,225084.57128831,NA,2.67470354436029,NA,1.59022245490379,8.11899769326177,41.4521398184997,13.9287269478161,19.8898458394701,28.4021625953342,0.204596338230215,0.160998014993576,0.222964732087321,20.5909812504918,28.1675785026002,53.1459557968672
"Baltic Sea",2014,831395.083587634,658670.19427,208403.696872186,785232.613087148,601782.98915,202914.306273243,NA,2.37340125749177,NA,1.09806124321595,5.68755770139516,29.4594794293615,12.4976198198957,17.7599971846704,25.2382057179695,0.228355091018753,0.180913617524431,0.246502415461192,20.4330777691073,26.6702495844954,62.4323410313894
"Baltic Sea",2015,889905.24011115,827417.28596,207785.901646394,836446.570074797,744926.10473,202225.680825343,NA,3.5435267598432,NA,2.15247191457444,10.3521665262137,49.7880372147139,14.1059330136484,19.883402000757,28.0271907389025,0.218322858991064,0.202992520222548,0.164614197493477,30.5036931491011,32.9387697802462,57.175334573194
