"","Region","Year","Catch_SAU_tonnes","Catch_WAT_tonnes","Catch_STO_tonnes","Land_SAU_tonnes","Land_WAT_tonnes","Land_STO_tonnes","Stckbio_lwr_STO_MTkm2","Stckbio_STO_MTkm2","Stckbio_upr_STO_MTkm2","Stckbio_lwr_SUR_MTkm2","Stckbio_SUR_MTkm2","Stckbio_upr_SUR_MTkm2","Tbio_lwr_SUR_MTkm2","Tbio_SUR_MTkm2","Tbio_upr_SUR_MTkm2","ER_SAU_SUR","ER_WAT_SUR","ER_STO","pcdem_SAU","pcdem_WAT","pcdem_SUR"
"1","East Bering Sea",1984,1175145.32682164,2024721.76207,1108783.1691203,1039958.10035163,1610387.89439,NA,NA,23.5309684923537,NA,22.2295522671017,45.1672564559812,91.7733758758406,98.8577404647892,136.052726685583,187.242236688334,0.0140720524024531,0.0242455040120844,0.0948860291834409,96.344168970249,94.8401936351168,97.9560826939393
"2","East Bering Sea",1985,1142779.2740497,2149249.77445,1182413.26843215,995156.540528781,1691026.56513,NA,NA,25.2153730335968,NA,19.2886457285131,36.9971021442466,70.9632799698546,83.861186604169,118.47458883158,167.374547954635,0.0157148507598488,0.0295552607735268,0.0944276859600573,95.2734699786219,93.4252003828022,94.8509866217665
"3","East Bering Sea",1986,976790.285536819,2440910.06568,1171851.35417706,868922.437343177,1928258.4278,NA,NA,26.1945525204514,NA,14.320859813323,47.2502131469579,155.89724859648,76.6640802494728,107.37886954609,150.3992689598,0.0148202530854801,0.0370344642733548,0.0900859353985163,95.6958547433883,97.0312345503665,96.3410037841098
"4","East Bering Sea",1987,685755.278935315,2273367.95003,933821.785272877,614768.89692338,1816151.86596,NA,NA,26.7303738552861,NA,16.9228874977069,35.0079919885138,72.4202358039615,82.175550930542,113.856869784205,157.752356391434,0.00981257604886302,0.032529965983421,0.0703484314526898,93.6528840464757,96.594029610966,98.8576837421472
"5","East Bering Sea",1988,719678.855325327,1948765.943,1337493.21247561,637770.008963059,1542872.91838,NA,NA,26.610426264502,NA,17.398989810858,32.5724606982478,60.9785514833045,80.4655549065281,114.055568601277,161.66759483697,0.0102800532659905,0.0278366073266557,0.101212745396062,94.4435056805297,97.5542475593053,97.3332640610787
"6","East Bering Sea",1989,708742.20494327,1789100.13884,1233561.45696377,640853.488983479,1384627.77194,NA,NA,24.6074999674667,NA,17.1212376408892,30.0951294875594,52.9001955273328,81.6433217414441,115.835751949954,164.348058648377,0.00996824696179707,0.0251631579140543,0.100945914780304,93.209980694792,96.3210435693733,99.0729012795983
"7","East Bering Sea",1990,802567.445479132,1236144.63845,1467149.1655423,735750.113172782,990390.46754,NA,NA,21.8934133862764,NA,16.3344980510562,31.1871602578821,59.5450782699703,69.494359729628,98.3971608591715,139.32067728682,0.0132883814984307,0.0204672661911384,0.134944827820705,93.4643001757077,93.5531982597489,98.9707605810211
"8","East Bering Sea",1991,758864.348837447,1557101.59016,1386816.65941363,657297.639728328,1247427.82072,NA,NA,18.6368299816645,NA,21.4098207540422,34.4394350463717,55.398627570916,80.9015129636918,111.997380547226,155.045471832765,0.0110389915507332,0.0226507297697437,0.149845069238048,93.7041232354345,94.9138336697689,95.3629162790303
"9","East Bering Sea",1992,892858.694586904,1603472.03684,1407857.19871391,786732.389979168,1278444.34524,NA,NA,18.7307427577607,NA,17.4855533289603,33.1029577552338,62.6692099202763,74.7717190177061,103.719357114349,143.873983125444,0.0140247791728951,0.0251868984005334,0.151355795974753,92.8244141391463,91.769634530471,97.9979042161573
"10","East Bering Sea",1993,810602.090378994,1612538.01662,1335176.62106812,711888.520423972,1288966.33594,NA,NA,22.999068350479,NA,25.2144621187579,57.0621046157242,129.135563861723,100.781644658691,137.022416495049,186.295259277887,0.00963805084134744,0.0191730610767641,0.116902534050404,92.1168430667868,92.0590586540702,92.5019026250226
