"","Region","Year","Catch_SAU_tonnes","Catch_WAT_tonnes","Catch_STO_tonnes","Land_SAU_tonnes","Land_WAT_tonnes","Land_STO_tonnes","Stckbio_lwr_STO_MTkm2","Stckbio_STO_MTkm2","Stckbio_upr_STO_MTkm2","Stckbio_lwr_SUR_MTkm2","Stckbio_SUR_MTkm2","Stckbio_upr_SUR_MTkm2","Tbio_lwr_SUR_MTkm2","Tbio_SUR_MTkm2","Tbio_upr_SUR_MTkm2","ER_SAU_SUR","ER_WAT_SUR","ER_STO","pcdem_SAU","pcdem_WAT","pcdem_SUR"
"1","Gulf of Alaska",1984,631922.007742274,1217204.61907,396595.730905837,542590.585030719,966392.48432,NA,NA,22.3030694708208,NA,19.3226053514545,22.511722499349,26.2271904160972,36.4223111160123,39.8555087687486,43.6123225172678,0.0499380285858193,0.0961903499437855,0.0737690242566661,93.3353030459077,95.2847118183094,95.5833515309958
"2","Gulf of Alaska",1985,696970.559383139,1482091.03902,364763.821054845,591729.907991192,1162618.43962,NA,NA,22.5665940128108,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0670558052188231,94.1056388643569,86.0766944858901,NA
"3","Gulf of Alaska",1986,697372.015939478,1474304.04697,187109.562803717,611152.177342421,1173348.35077,NA,NA,23.0551539500871,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0336680992445427,94.1528560370605,97.0420887001142,NA
"4","Gulf of Alaska",1987,684597.664900338,1486283.99655,176037.230425251,611350.423541635,1198297.92041,NA,NA,23.4843638069188,NA,16.0587917018207,18.7506767781224,21.8937941388053,37.3084387365805,40.7418131523983,44.4911498619593,0.0529238379679087,0.114899388999755,0.0310968478581864,93.730199191694,96.3365166592394,94.8480357828777
"5","Gulf of Alaska",1988,677767.578488332,1293734.73651,201287.507252292,605211.58865189,1033346.37315,NA,NA,23.7279836298721,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035192217151008,94.1933795512881,97.2224864204439,NA
"6","Gulf of Alaska",1989,701789.895483622,1135684.81555,218103.239514569,639608.574606863,883969.09968,NA,NA,23.8749721400954,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0378974408700099,93.2716485015512,94.7101002410686,NA
"7","Gulf of Alaska",1990,696120.113357494,827912.12246,332690.296722727,644915.650663,668911.12899,NA,NA,24.6074746757539,NA,19.6597741857031,22.47789660858,25.6999816566275,44.8585013917117,49.2499979350607,54.0714072327804,0.0445178555526095,0.052946138993402,0.0560871960213945,92.5341290414258,92.7311446785939,95.4991353360194
"8","Gulf of Alaska",1991,668145.250609354,1040637.68278,400433.129708475,590675.83342879,842415.81943,NA,NA,24.3110217343692,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0683309456617024,92.9262593701707,94.2082688684702,NA
"9","Gulf of Alaska",1992,768104.208396795,1103731.84022,328871.799057567,691056.344627036,885287.02796,NA,NA,23.9657350180489,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0569280780943905,91.733823119183,92.290435865016,NA
"10","Gulf of Alaska",1993,722381.162940058,1132323.27417,307764.63354204,652752.002814073,908804.44623,NA,NA,24.7852526035005,NA,20.3749328338518,23.4760069606169,27.0490659924666,54.0311679537908,59.0608595499239,64.5587586364791,0.0385232500604787,0.0603847039181038,0.0515129004474564,91.2245652554501,92.2454589909968,98.1805925068523
"11","Gulf of Alaska",1994,708872.692484046,1049512.4296,291273.385200561,642971.928569946,841487.51515,NA,NA,26.3131003740484,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0459218549087163,92.6681555846314,93.1057186261646,NA
