"Region","Year","Catch_SAU_tonnes","Catch_WAT_tonnes","Catch_STO_tonnes","Land_SAU_tonnes","Land_WAT_tonnes","Land_STO_tonnes","Stckbio_lwr_STO_MTkm2","Stckbio_STO_MTkm2","Stckbio_upr_STO_MTkm2","Stckbio_lwr_SUR_MTkm2","Stckbio_SUR_MTkm2","Stckbio_upr_SUR_MTkm2","Tbio_lwr_SUR_MTkm2","Tbio_SUR_MTkm2","Tbio_upr_SUR_MTkm2","ER_SAU_SUR","ER_WAT_SUR","ER_STO","pcdem_SAU","pcdem_WAT","pcdem_SUR"
"Northern Norway and Finnmark",1990,463586.848989262,526981.0092,136741.809299681,351526.488092432,417587.80083,136741.809299681,2.33491356422397,2.65212462433646,2.98350007271049,0.988817113070348,1.96132826269331,3.89031348991822,30.0800309867932,39.8318688375807,52.7452174431213,0.0442700322273171,0.0503238310390648,0.0807191605967817,77.7543414203791,53.5558114187922,96.7915811254175
"Northern Norway and Finnmark",1991,1079763.38363711,477640.85761,137787.992255921,892433.772101978,368627.21398,137787.992255921,2.52217602846852,2.86535709925775,3.23410807543137,1.92820815704678,3.82510069760463,7.58807875246451,41.5756350629972,55.0574474264191,72.9110334098252,0.074597098723733,0.0329985464867335,0.0799212835540804,44.408750389685,65.4221790224543,98.2729632563491
"Northern Norway and Finnmark",1992,1242393.50141512,607471.71396,160876.382493047,963732.251788851,478133.80287,160876.382493047,2.97145128259468,3.35441740370954,3.77350421852751,1.79334638847129,3.55524288391189,7.04813751814046,33.6196717149606,44.8094268240501,59.7235079903056,0.105462775409305,0.0515663136227744,0.0811727923877748,47.3147004580609,54.001483402666,99.6030160745643
"Northern Norway and Finnmark",1993,1245087.73305859,536663.09715,197178.577060024,1031939.19870271,429440.37259,197178.577060024,3.63538002720795,4.03341903764054,4.47147564854846,4.28280635087281,8.23151947105538,15.8209144311545,69.141514016289,91.5804719342527,121.301694922743,0.0517138047090503,0.0222899076616822,0.0962959413807152,53.2688364551891,62.2071723047298,99.1067227329024
"Northern Norway and Finnmark",1994,1114607.21835525,713640.07864,228663.462394531,793322.919157013,574485.11667,228663.462394531,4.59510348112937,4.9888223705056,5.41162161453738,1.3739780632138,2.97182141206037,6.4278482616547,55.7291972224355,75.0647032886415,101.108753770875,0.0564801046705037,0.0361620359844172,0.102877980592958,71.5991140261343,59.580554092519,96.3177301886009
"Northern Norway and Finnmark",1995,1132154.36160182,684225.43737,296642.691714146,883073.056025999,579141.77532,296642.691714146,5.26027779798418,5.70232566810338,6.17761261417881,2.5293507860168,4.45602171645806,7.85028697771697,66.485290951406,85.7056033734612,110.482338942877,0.0502465029507761,0.0303668268425567,0.137635188990661,63.6583305050444,48.0940561030402,96.3239799969121
"Northern Norway and Finnmark",1996,1327695.97954998,915184.62645,331199.246397924,1046924.125063,741667.30596,331199.246397924,5.51531811097744,5.9859394424907,6.49280595524839,2.23602015327684,4.28579404562796,8.21460869868378,68.2183968515891,88.3934107156669,114.535014285763,0.0571331490824452,0.0393820426560698,0.161334039473275,58.2559538411254,56.081293227235,98.0343242320112
"Northern Norway and Finnmark",1997,1175804.48197478,883915.52426,350744.569499399,1120682.06190017,742016.1258,350744.569499399,5.36608210198935,5.85475019996783,6.38272192666046,1.94616370380111,3.83029295337337,7.53849436201442,58.5822099083216,76.8374204865827,100.781264419205,0.0582065352324964,0.0437569858714776,0.17677827190089,45.3294930875262,46.5345608285764,96.9317295886705
"Northern Norway and Finnmark",1998,1048746.42149661,920794.84663,351536.980787314,994514.833108389,757626.30811,351536.980787314,4.84089395311735,5.32586926962901,5.85531240130735,1.31193936967417,2.59476545042006,5.13195037691852,56.2091716159669,74.1661421186535,97.8597705432434,0.0537866154363858,0.0472244169766198,0.176154025155775,47.5528390507186,50.3607023092229,96.7385075030977
"Northern Norway and Finnmark",1999,1094093.66002744,948707.75208,354318.871944155,1040883.17759842,775151.00398,354318.871944155,4.5792861002397,5.05448988544205,5.56894817999109,1.33089360489409,2.73378015705134,5.61544057286409,42.0558796454693,55.2721669870021,72.6417440127939,0.0752934892295153,0.0652883016536276,0.185999888669946,43.4194585714743,47.3574081696883,97.3469434601702
"Northern Norway and Finnmark",2000,1305354.14679463,783210.67283,357976.602161544,1255996.55045232,661100.2943,357976.602161544,4.55170173390669,5.02570531742048,5.53869335738082,2.40775580297534,4.57102610450388,8.67790646469884,51.8223951202587,66.0981322895109,84.3064679280665,0.0751187891891381,0.0450711690520688,0.178941243976958,36.4717868973204,40.9338987339857,97.4470939686138
"Northern Norway and Finnmark",2001,1264640.76188154,1065288.538,305737.437807567,1208429.07491249,858126.91684,305737.437807567,4.40226994481006,4.87295862393484,5.38186544556346,3.18190010701251,5.92016245973633,11.0149037904833,45.2023418265718,58.1144725830536,74.7149768603624,0.0827736848223417,0.0697256172243522,0.133874660243286,42.2349364720748,55.3401404155538,98.7202616639341
"Northern Norway and Finnmark",2002,1365156.51240027,1078768.89791,314803.41741402,1295569.68578479,840898.72723,314803.41741402,4.71650132487624,5.22903972569337,5.78181016307996,2.83458962771712,5.45478365501032,10.4969920273543,52.9895113969531,68.1274107399391,87.5898639517411,0.0762201809907086,0.0602304277194402,0.135092607785225,40.7508582718631,56.508900127825,98.5129802071878
"Northern Norway and Finnmark",2003,1149354.05641871,942127.2634,336334.050788556,1104265.37844239,735959.86068,336334.050788556,4.94229934669155,5.47644119128239,6.05048760999299,1.63907638861627,3.19952660143823,6.24557253365908,60.3911062100862,77.9058961421431,100.500372233565,0.0561168027593948,0.0459990283404942,0.129034585252204,53.4403301808771,58.0066316739179,98.1979797500233
"Northern Norway and Finnmark",2004,1009631.42237179,879722.00565,337651.304127897,969839.129419389,704386.79236,337651.304127897,6.25929823617018,6.87197758616292,7.52421434826832,2.88841166847298,5.67257382413284,11.140411230664,60.5245724340978,78.3905328661169,101.530261113779,0.0489901372053848,0.0426865693800875,0.103895379758242,60.9071685670732,57.2306781342818,91.5750781147061
"Northern Norway and Finnmark",2005,985572.567618329,979446.79364,350362.190303231,946413.036584099,765316.32001,350360.594606152,6.5166556826186,7.1521172169617,7.82981485806638,2.25035865308999,4.15459094567795,7.67016666530396,48.0280450881831,61.7553801997114,79.4062505898087,0.0607048263238474,0.0603275186981368,0.119290524572042,53.3332823862222,59.9372559073152,97.9692704378687
"Northern Norway and Finnmark",2006,948911.989457548,1203039.7705,351577.412808727,909298.36100599,1036194.5698,351575.648622604,7.12131469615788,7.76846961377078,8.4512786429064,2.08371133102354,4.22121398504561,8.55139924722295,62.1154419236702,81.8305788664301,107.803203683935,0.0441082395439165,0.0559208514252272,0.114547159189424,52.8064017306644,50.4476464255011,97.0860272469006
"Northern Norway and Finnmark",2007,1049478.08860063,1324943.13045,386194.389729516,1008990.46256693,1144408.51933,386191.689333057,6.73771202482169,7.37018152620505,8.03718194290868,1.33109155511334,2.67559759972361,5.37815936713477,45.9922091499253,59.6645127175099,77.4012412887909,0.0669062503842636,0.0844676775948692,0.140230806843038,46.7884772776535,46.6833643161669,97.4047426679411
"Northern Norway and Finnmark",2008,1101165.94465896,1298977.77148,410941.914592685,1061433.5953853,1138683.98328,410938.194460451,6.64457968809393,7.25825660640456,7.89887391226198,1.05475838060238,2.11729131783667,4.25018905469739,51.165658073123,66.6301837719081,86.7687733661798,0.0628624313672872,0.0741549458583947,0.160546950056856,40.4285924362137,38.9472110660971,96.3637557910755
"Northern Norway and Finnmark",2009,1281113.00949655,1192680.92201,409410.501114026,1232408.97876855,1026800.87138,409402.811497533,6.12203817337032,6.72489773232828,7.35130020410702,0.607382569965196,1.22846636828006,2.48464426313991,50.3795306314073,65.8375084594594,86.0384657384471,0.0740156347801172,0.0689065171287245,0.179413348713878,33.7156303909566,38.238657652996,97.0099655235047
"Northern Norway and Finnmark",2010,1328091.62059209,1226731.25644,399305.695682114,1276448.85422823,1061492.28817,399183.335807553,5.39455309828104,5.98552855802435,6.60237841141984,0.765657906248593,1.54154472705924,3.10368393786635,50.7357563935035,65.9197663024508,85.6479906531194,0.0766340523708557,0.070785317739658,0.189391002118378,37.4059779018419,41.1555808788258,95.172754851495
"Northern Norway and Finnmark",2011,1039119.88367897,1155790.87336,304535.108226874,1019294.86816815,970615.99229,304326.468974456,4.68451914271443,5.23284756151082,5.80361370736027,0.582601618851407,1.32938836606111,3.03341661031221,46.3122760072849,64.0996014902652,88.7185702245448,0.0616623027997459,0.0685856636233182,0.155146947493749,38.7429589135111,39.5748398358853,98.3493671031694
"Northern Norway and Finnmark",2012,915590.902530423,1143845.82548,287355.099573895,893514.602435688,941334.34025,286973.023449666,4.39604131442859,4.94064755256951,5.50752609741597,1.04781466369277,2.24396646667883,4.80560702007462,49.4624802807033,67.3497198204937,91.7055662020371,0.0517100656716031,0.0646012783550942,0.146778999198195,45.6283159729173,49.1554048906944,98.2909767143602
"Northern Norway and Finnmark",2013,773954.541026843,980186.35042,265804.646722813,749168.554996647,831430.89495,265568.58055376,4.20144854396296,4.74324273981685,5.30870259509974,1.48518310135536,3.20153180999464,6.90137527221643,77.1132204071234,105.726002297104,144.955527764403,0.027844732856477,0.0352643800510546,0.126193611566661,56.4243307274702,46.6635844994182,98.3662555303253
"Northern Norway and Finnmark",2014,726151.624264531,1050440.82675,294113.020138255,704526.817777418,918433.90207,293878.884270073,4.01289267200658,4.54977368766482,5.11184306314313,1.10567412552082,2.44121613163076,5.38995718881188,66.5357429493049,91.1886168277201,124.975892210123,0.0302897785891064,0.0438167718697059,0.10431711900392,58.9168961113965,57.3308212917858,95.4759879528332
"Northern Norway and Finnmark",2015,714284.693572571,1784406.9405,266841.953080447,697124.859223569,1549730.15688,266599.685811606,4.00646280860577,4.53877699773004,5.09677728959791,1.8496968066221,3.99836699854451,8.6430049496842,63.5978255787609,87.430911890455,120.195372788804,0.031075330022089,0.0776315593330152,0.0883154867019357,59.0938339707553,64.4441293087427,98.9762519225266
